company,platform,careers_url,official_url
Apple,apple,https://jobs.apple.com/en-us/search?location=united-states-USA,https://jobs.apple.com/en-us/search
Google,google,https://www.google.com/about/careers/applications/jobs/results/,https://www.google.com/about/careers/applications/jobs/results/
Tesla,tesla,https://www.tesla.com/careers/search,https://www.tesla.com/careers/search
SpaceX,greenhouse,https://boards.greenhouse.io/spacex,https://new.spacex.com/careers
Amazon,workday,https://amazon.wd5.myworkdayjobs.com/en-US/External,https://www.amazon.jobs/en/
Microsoft,workday,https://microsoft.wd5.myworkdayjobs.com/en-US/MSFTInternal,https://apply.careers.microsoft.com/careers
Netflix,workday,https://netflix.wd5.myworkdayjobs.com/en-US/Netflix_External_Site,https://www.jobs.netflix.com/
Nvidia,workday,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite,https://jobs.nvidia.com/
OpenAI,ashby,https://jobs.ashbyhq.com/openai,https://openai.com/careers/search/
Anthropic,greenhouse,https://boards.greenhouse.io/anthropic,https://www.anthropic.com/careers/jobs
Stripe,greenhouse,https://boards.greenhouse.io/stripe,https://stripe.com/careers/search
Blue Origin,workday,https://blueorigin.wd5.myworkdayjobs.com/en-US/BlueOrigin,https://www.blueorigin.com/careers/search
Uber,official,https://jobs.uber.com/en/teams/engineering/,https://jobs.uber.com/
LinkedIn,official,https://careers.linkedin.com/,https://careers.linkedin.com/
